,Symbol,Description,Category,UniProt ID,GIFtS,GC id,Score
62,MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,62,GC01M011106,31.71
63,SFTPC,Surfactant Protein C,Protein Coding,P11686,48,GC08P022156,31.52
64,MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,P53779,56,GC04M085990,31.38
65,TBP,TATA-Box Binding Protein,Protein Coding,P20226,56,GC06P170554,31.37
66,HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,P34932,49,GC05P133062,31.29
67,CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,P16220,57,GC02P207529,31.24
68,GNAS,GNAS Complex Locus,Protein Coding,P84996,57,GC20P058839,31.14
69,KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,P01116,60,GC12M025583,31.09
70,PRKACA,Protein Kinase CAMP-Activated Catalytic Subunit Alpha,Protein Coding,P17612,59,GC19M015540,30.98
71,IGF1,Insulin Like Growth Factor 1,Protein Coding,P05019,55,GC12M102395,30.93
72,BMP2,Bone Morphogenetic Protein 2,Protein Coding,P12643,53,GC20P006767,30.81
73,XIAP,X-Linked Inhibitor Of Apoptosis,Protein Coding,P98170,58,GC0XP123859,30.65
74,RB1,RB Transcriptional Corepressor 1,Protein Coding,P06400,55,GC13P048303,30.61
75,CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,P38936,56,GC06P104241,30.49
76,CCND1,Cyclin D1,Protein Coding,P24385,60,GC11P069641,30.33
77,HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,P0DMV8,53,GC06P104117,30.32
78,SHC1,SHC Adaptor Protein 1,Protein Coding,P29353,50,GC01M154962,29.99
79,VWF,Von Willebrand Factor,Protein Coding,P04275,54,GC12M006031,29.98
80,CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,P10145,50,GC04P073740,29.97
81,TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,60,GC19M041301,29.93
82,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,Q8N726,58,GC09M021967,29.9
83,CASP3,Caspase 3,Protein Coding,P42574,56,GC04M184627,29.74
84,HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,59,GC11M007933,29.68
85,BRCA2,BRCA2 DNA Repair Associated,Protein Coding,P51587,54,GC13P032315,29.64
86,RBP4,Retinol Binding Protein 4,Protein Coding,P02753,52,GC10M093591,29.58
87,S100B,S100 Calcium Binding Protein B,Protein Coding,P04271,51,GC21M052331,29.44
88,CFH,Complement Factor H,Protein Coding,P08603,54,GC01P196621,29.17
89,IL1B,Interleukin 1 Beta,Protein Coding,P01584,54,GC02M112829,29.11
90,PLVAP,Plasmalemma Vesicle Associated Protein,Protein Coding,Q9BX97,45,GC19M017351,29.03
91,PTK2,Protein Tyrosine Kinase 2,Protein Coding,Q05397,54,GC08M140657,28.98
92,MPZ,Myelin Protein Zero,Protein Coding,P25189,52,GC01M161304,28.96
93,IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,P08833,50,GC07P048599,28.95
94,SNCA,Synuclein Alpha,Protein Coding,P37840,58,GC04M089724,28.84
95,ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,P04626,62,GC17P039687,28.84
96,SQSTM1,Sequestosome 1,Protein Coding,Q13501,56,GC05P179806,28.69
97,TARDBP,TAR DNA Binding Protein,Protein Coding,Q13148,54,GC01P011013,28.59
98,CCL2,C-C Motif Chemokine Ligand 2,Protein Coding,P13500,55,GC17P034255,28.57
99,LCK,"LCK Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,P06239,59,GC01P032251,28.48
100,SCP2,Sterol Carrier Protein 2,Protein Coding,P22307,52,GC01P052927,28.17
101,ZAP70,Zeta Chain Of T Cell Receptor Associated Protein Kinase 70,Protein Coding,P43403,58,GC02P097817,28.17
102,MECP2,Methyl-CpG Binding Protein 2,Protein Coding,P51608,53,GC0XM154021,28.15
103,EGF,Epidermal Growth Factor,Protein Coding,P01133,58,GC04P109912,28.14
104,CDC42,Cell Division Cycle 42,Protein Coding,P60953,58,GC01P022052,28.14
105,FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P01100,58,GC14P075278,28.13
106,MLH1,MutL Homolog 1,Protein Coding,P40692,56,GC03P036993,28.01
107,NLRP3,NLR Family Pyrin Domain Containing 3,Protein Coding,Q96P20,55,GC01P247415,27.99
108,PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,P78527,57,GC08M047773,27.98
109,LMNA,Lamin A/C,Protein Coding,P02545,57,GC01P156082,27.86
110,RHOA,Ras Homolog Family Member A,Protein Coding,P61586,57,GC03M049359,27.82
111,CD4,CD4 Molecule,Protein Coding,P01730,56,GC12P006786,27.77
112,HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,55,GC14P061695,27.69
113,ESR1,Estrogen Receptor 1,Protein Coding,P03372,61,GC06P151656,27.68
114,CBL,Cbl Proto-Oncogene,Protein Coding,P22681,58,GC11P119206,27.6
115,VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,P15692,56,GC06P043770,27.56
116,RAC1,Rac Family Small GTPase 1,Protein Coding,P63000,56,GC07P006378,27.52
117,HSPD1,Heat Shock Protein Family D (Hsp60) Member 1,Protein Coding,P10809,56,GC02M197486,27.51
118,ABCA3,ATP Binding Cassette Subfamily A Member 3,Protein Coding,Q99758,55,GC16M002275,27.44
119,F2,"Coagulation Factor II, Thrombin",Protein Coding,P00734,57,GC11P046851,27.41
120,PTK2B,Protein Tyrosine Kinase 2 Beta,Protein Coding,Q14289,56,GC08P027311,27.3
121,SMAD4,SMAD Family Member 4,Protein Coding,Q13485,60,GC18P051028,27.19
122,MBP,Myelin Basic Protein,Protein Coding,P02686,51,GC18M076978,27.1
123,JAK2,Janus Kinase 2,Protein Coding,O60674,60,GC09P004985,27.02
124,TF,Transferrin,Protein Coding,P02787,57,GC03P136239,27.01
125,NPM1,Nucleophosmin 1,Protein Coding,P06748,57,GC05P171387,26.99
126,SYK,Spleen Associated Tyrosine Kinase,Protein Coding,P43405,57,GC09P094897,26.97
127,APOA1,Apolipoprotein A1,Protein Coding,P02647,57,GC11M116835,26.96
128,CDK1,Cyclin Dependent Kinase 1,Protein Coding,P06493,55,GC10P060772,26.89
129,PTPN1,Protein Tyrosine Phosphatase Non-Receptor Type 1,Protein Coding,P18031,57,GC20P050510,26.88
130,BMP4,Bone Morphogenetic Protein 4,Protein Coding,P12644,56,GC14M053949,26.82
131,CDH1,Cadherin 1,Protein Coding,P12830,56,GC16P068737,26.8
132,RET,Ret Proto-Oncogene,Protein Coding,P07949,61,GC10P043402,26.72
133,PRKCB,Protein Kinase C Beta,Protein Coding,P05771,55,GC16P046737,26.63
134,HLA-DRB1,"Major Histocompatibility Complex, Class II, DR Beta 1",Protein Coding,P01911,54,GC06M080969,26.62
135,CDK2,Cyclin Dependent Kinase 2,Protein Coding,P24941,58,GC12P055966,26.61
136,MYBPC3,Myosin Binding Protein C3,Protein Coding,Q14896,53,GC11M108877,26.48
137,PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,P48736,56,GC07P106865,26.46
138,BMP6,Bone Morphogenetic Protein 6,Protein Coding,P22004,52,GC06P007726,26.42
139,IFNG,Interferon Gamma,Protein Coding,P01579,57,GC12M068154,26.37
140,BCL2L1,BCL2 Like 1,Protein Coding,Q07817,54,GC20M031664,26.34
141,CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,P68400,57,GC20M000472,26.25
142,TTN,Titin,Protein Coding,Q8WZ42,54,GC02M178525,26.2
143,AR,Androgen Receptor,Protein Coding,P10275,58,GC0XP067544,26.18
144,ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,P00519,60,GC09P130713,26.17
145,PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,P42336,59,GC03P179148,26.14
146,STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,P42224,60,GC02M190908,26.1
147,BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,P36894,58,GC10P098402,26.03
148,PTPN22,Protein Tyrosine Phosphatase Non-Receptor Type 22,Protein Coding,Q9Y2R2,53,GC01M113813,25.9
149,APC,APC Regulator Of WNT Signaling Pathway,Protein Coding,P25054,56,GC05P112707,25.83
150,RANBP2,RAN Binding Protein 2,Protein Coding,P49792,53,GC02P108719,25.74
151,HTT,Huntingtin,Protein Coding,P42858,50,GC04P003041,25.68
152,GNAQ,G Protein Subunit Alpha Q,Protein Coding,P50148,56,GC09M077716,25.63
153,PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,57,GC01M226360,25.62
154,CDK4,Cyclin Dependent Kinase 4,Protein Coding,P11802,61,GC12M058711,25.55
155,CASP8,Caspase 8,Protein Coding,Q14790,59,GC02P201233,25.45
156,BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,O15392,52,GC17P078214,25.43
157,LRP1,LDL Receptor Related Protein 1,Protein Coding,Q07954,54,GC12P057128,25.39
158,SP1,Sp1 Transcription Factor,Protein Coding,P08047,52,GC12P053380,25.36
159,RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,P23443,56,GC17P059893,25.34
160,CAMK2G,Calcium/Calmodulin Dependent Protein Kinase II Gamma,Protein Coding,Q13555,54,GC10M073812,25.19
161,GNAI1,G Protein Subunit Alpha I1,Protein Coding,P63096,54,GC07P080470,25.18
162,MSH2,MutS Homolog 2,Protein Coding,P43246,56,GC02P047403,25.14
163,IL10,Interleukin 10,Protein Coding,P22301,54,GC01M206767,25.13
164,MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,P36507,61,GC19M004090,25.13
165,TP63,Tumor Protein P63,Protein Coding,Q9H3D4,53,GC03P189598,25.0
166,KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P10721,60,GC04P054657,24.99
167,PRKAA1,Protein Kinase AMP-Activated Catalytic Subunit Alpha 1,Protein Coding,Q13131,53,GC05M040759,24.96
168,LRRK2,Leucine Rich Repeat Kinase 2,Protein Coding,Q5S007,56,GC12P040196,24.93
169,INSR,Insulin Receptor,Protein Coding,P06213,61,GC19M007112,24.89
170,GNB3,G Protein Subunit Beta 3,Protein Coding,P16520,53,GC12P006839,24.83
171,NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,P19838,60,GC04P102501,24.79
172,FMR1,Fragile X Messenger Ribonucleoprotein 1,Protein Coding,Q06787,51,GC0XP147968,24.76
173,PTPA,Protein Phosphatase 2 Phosphatase Activator,Protein Coding,Q15257,49,GC09P130118,24.73
174,FUS,FUS RNA Binding Protein,Protein Coding,P35637,51,GC16P031180,24.69
175,TNFRSF1A,TNF Receptor Superfamily Member 1A,Protein Coding,P19438,57,GC12M006328,24.68
176,CEBPB,CCAAT Enhancer Binding Protein Beta,Protein Coding,P17676,50,GC20P050190,24.67
177,SFTPD,Surfactant Protein D,Protein Coding,P35247,50,GC10M079937,24.67
178,TP53BP1,Tumor Protein P53 Binding Protein 1,Protein Coding,Q12888,50,GC15M043403,24.66
179,TSC2,TSC Complex Subunit 2,Protein Coding,P49815,57,GC16P045943,24.62
180,LAMP2,Lysosomal Associated Membrane Protein 2,Protein Coding,P13473,51,GC0XM120426,24.58
181,MBL2,Mannose Binding Lectin 2,Protein Coding,P11226,53,GC10M052760,24.58
182,PRKCZ,Protein Kinase C Zeta,Protein Coding,Q05513,55,GC01P005301,24.55
183,YBX1,Y-Box Binding Protein 1,Protein Coding,P67809,47,GC01P042682,24.53
184,MTTP,Microsomal Triglyceride Transfer Protein,Protein Coding,P55157,52,GC04P099563,24.39
185,PRMT1,Protein Arginine Methyltransferase 1,Protein Coding,Q99873,56,GC19P049675,24.39
186,PRKCE,Protein Kinase C Epsilon,Protein Coding,Q02156,55,GC02P045651,24.37
187,SMAD3,SMAD Family Member 3,Protein Coding,P84022,60,GC15P067063,24.35
188,PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,P10644,58,GC17P079119,24.31
189,CDKN3,Cyclin Dependent Kinase Inhibitor 3,Protein Coding,Q16667,48,GC14P054398,24.29
190,P4HB,Prolyl 4-Hydroxylase Subunit Beta,Protein Coding,P07237,56,GC17M081843,24.28
191,EIF2AK2,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2,Protein Coding,P19525,57,GC02M037099,24.19
192,PROZ,"Protein Z, Vitamin K Dependent Plasma Glycoprotein",Protein Coding,P22891,49,GC13P113158,24.18
193,PDPK1,3-Phosphoinositide Dependent Protein Kinase 1,Protein Coding,O15530,55,GC16P002537,24.18
194,C3,Complement C3,Protein Coding,P01024,56,GC19M006677,24.1
195,STUB1,STIP1 Homology And U-Box Containing Protein 1,Protein Coding,Q9UNE7,52,GC16P021377,24.07
196,PML,PML Nuclear Body Scaffold,Protein Coding,P29590,53,GC15P073994,23.99
197,YWHAZ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta,Protein Coding,P63104,53,GC08M100917,23.96
198,PTPN6,Protein Tyrosine Phosphatase Non-Receptor Type 6,Protein Coding,P29350,56,GC12P028322,23.95
199,PMP22,Peripheral Myelin Protein 22,Protein Coding,Q01453,50,GC17M015229,23.95
200,ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,P08183,58,GC07M087504,23.9
201,CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,P16410,54,GC02P203854,23.86
202,DLG4,Discs Large MAGUK Scaffold Protein 4,Protein Coding,P78352,54,GC17M013488,23.83
203,GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,P49841,57,GC03M119821,23.79
204,DDB1,Damage Specific DNA Binding Protein 1,Protein Coding,Q16531,53,GC11M109043,23.79
205,YAP1,Yes1 Associated Transcriptional Regulator,Protein Coding,P46937,54,GC11P102110,23.75
206,ELAVL1,ELAV Like RNA Binding Protein 1,Protein Coding,Q15717,48,GC19M007958,23.75
207,PTPRC,Protein Tyrosine Phosphatase Receptor Type C,Protein Coding,P08575,59,GC01P198607,23.75
208,ACP1,Acid Phosphatase 1,Protein Coding,P24666,50,GC02P000491,23.73
209,PABPC1,Poly(A) Binding Protein Cytoplasmic 1,Protein Coding,P11940,49,GC08M100685,23.72
210,VHL,Von Hippel-Lindau Tumor Suppressor,Protein Coding,P40337,54,GC03P014626,23.72
211,LRP2,LDL Receptor Related Protein 2,Protein Coding,P98164,55,GC02M169127,23.71
212,SMN1,"Survival Of Motor Neuron 1, Telomeric",Protein Coding,Q16637,47,GC05P070924,23.65
213,HFE,Homeostatic Iron Regulator,Protein Coding,Q30201,52,GC06P026087,23.64
214,UCP2,Uncoupling Protein 2,Protein Coding,P55851,53,GC11M073974,23.56
215,SOD1,Superoxide Dismutase 1,Protein Coding,P00441,60,GC21P031659,23.56
216,SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,Q13309,51,GC05P036151,23.51
217,HDAC1,Histone Deacetylase 1,Protein Coding,Q13547,57,GC01P032292,23.47
218,OXA1L,OXA1L Mitochondrial Inner Membrane Protein,Protein Coding,Q15070,45,GC14P022766,23.45
219,FN1,Fibronectin 1,Protein Coding,P02751,57,GC02M215360,23.38
220,HSP90B1,Heat Shock Protein 90 Beta Family Member 1,Protein Coding,P14625,54,GC12P103930,23.38
221,SERPINA1,Serpin Family A Member 1,Protein Coding,P01009,56,GC14M094376,23.36
222,MSH6,MutS Homolog 6,Protein Coding,P52701,56,GC02P047695,23.34
223,PARK7,Parkinsonism Associated Deglycase,Protein Coding,Q99497,54,GC01P008210,23.33
224,CAV1,Caveolin 1,Protein Coding,Q03135,55,GC07P116524,23.3
225,BACE1,Beta-Secretase 1,Protein Coding,P56817,54,GC11M117285,23.28
226,PRKD1,Protein Kinase D1,Protein Coding,Q15139,56,GC14M029576,23.27
227,PRMT5,Protein Arginine Methyltransferase 5,Protein Coding,O14744,53,GC14M022920,23.21
228,FAS,Fas Cell Surface Death Receptor,Protein Coding,P25445,57,GC10P098532,23.21
229,SKP1,S-Phase Kinase Associated Protein 1,Protein Coding,P63208,50,GC05M134148,23.2
230,RPA1,Replication Protein A1,Protein Coding,P27694,54,GC17P001829,23.17
231,HSPA9,Heat Shock Protein Family A (Hsp70) Member 9,Protein Coding,P38646,54,GC05M138554,23.16
232,RASA1,RAS P21 Protein Activator 1,Protein Coding,P20936,53,GC05P087267,23.13
233,CHEK2,Checkpoint Kinase 2,Protein Coding,O96017,61,GC22M028687,23.12
234,PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,Protein Coding,P54646,57,GC01P056645,23.12
235,SLC4A1,Solute Carrier Family 4 Member 1 (Diego Blood Group),Protein Coding,P02730,55,GC17M060986,23.11
236,HBB,Hemoglobin Subunit Beta,Protein Coding,P68871,52,GC11M008309,23.11
237,CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,P46527,56,GC12P028528,23.11
238,PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,58,GC05P068215,23.05
239,YWHAE,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon,Protein Coding,P62258,56,GC17M013155,23.05
240,NF1,Neurofibromin 1,Protein Coding,P21359,54,GC17P031094,22.99
241,STK11,Serine/Threonine Kinase 11,Protein Coding,Q15831,57,GC19P001177,22.97
242,PPP2CA,Protein Phosphatase 2 Catalytic Subunit Alpha,Protein Coding,P67775,56,GC05M134194,22.95
243,HSP90AB1,Heat Shock Protein 90 Alpha Family Class B Member 1,Protein Coding,P08238,56,GC06P044246,22.92
244,SERPINE1,Serpin Family E Member 1,Protein Coding,P05121,57,GC07P101127,22.85
245,DAXX,Death Domain Associated Protein,Protein Coding,Q9UER7,50,GC06M033318,22.83
246,HMGB1,High Mobility Group Box 1,Protein Coding,P09429,55,GC13M030456,22.82
247,ABCC1,ATP Binding Cassette Subfamily C Member 1,Protein Coding,P33527,55,GC16P015949,22.76
248,EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15910,60,GC07M148807,22.69
249,FYN,"FYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,P06241,54,GC06M111660,22.68
250,TJP1,Tight Junction Protein 1,Protein Coding,Q07157,51,GC15M029699,22.68
251,TRAF3,TNF Receptor Associated Factor 3,Protein Coding,Q13114,54,GC14P112076,22.64
252,MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,61,GC07P116672,22.64
253,CD46,CD46 Molecule,Protein Coding,P15529,54,GC01P207752,22.63
254,BTK,Bruton Tyrosine Kinase,Protein Coding,Q06187,61,GC0XM101349,22.6
255,PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,P12004,57,GC20M005114,22.58
256,E2F1,E2F Transcription Factor 1,Protein Coding,Q01094,50,GC20M033675,22.56
257,YWHAB,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Beta,Protein Coding,P31946,54,GC20P044885,22.54
258,TP73,Tumor Protein P73,Protein Coding,O15350,52,GC01P003652,22.53
259,CEP290,Centrosomal Protein 290,Protein Coding,O15078,48,GC12M088049,22.52
260,NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,58,GC02M177227,22.49
261,BTRC,Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase,Protein Coding,Q9Y297,52,GC10P101354,22.49
262,GNA11,G Protein Subunit Alpha 11,Protein Coding,P29992,54,GC19P003094,22.48
263,CYCS,"Cytochrome C, Somatic",Protein Coding,P99999,55,GC07M025118,22.48
264,DLG1,Discs Large MAGUK Scaffold Protein 1,Protein Coding,Q12959,50,GC03M197042,22.43
265,MAP3K1,Mitogen-Activated Protein Kinase Kinase Kinase 1,Protein Coding,Q13233,56,GC05P056815,22.43
266,EHHADH,Enoyl-CoA Hydratase And 3-Hydroxyacyl CoA Dehydrogenase,Protein Coding,Q08426,50,GC03M185190,22.41
267,RPL11,Ribosomal Protein L11,Protein Coding,P62913,55,GC01P023691,22.37
268,CALR,Calreticulin,Protein Coding,P27797,58,GC19P012938,22.31
269,YWHAQ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta,Protein Coding,P27348,53,GC02M009583,22.3
270,HLA-DQB1,"Major Histocompatibility Complex, Class II, DQ Beta 1",Protein Coding,P01920,49,GC06M080978,22.28
271,TNFAIP3,TNF Alpha Induced Protein 3,Protein Coding,P21580,54,GC06P137866,22.27
272,MAP3K7,Mitogen-Activated Protein Kinase Kinase Kinase 7,Protein Coding,O43318,58,GC06M090513,22.25
273,MYD88,MYD88 Innate Immune Signal Transduction Adaptor,Protein Coding,Q99836,56,GC03P038185,22.25
274,IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,P08069,61,GC15P098648,22.25
275,C1QBP,Complement C1q Binding Protein,Protein Coding,Q07021,50,GC17M005432,22.24
276,UBC,Ubiquitin C,Protein Coding,P0CG48,50,GC12M124911,22.23
277,GJA1,Gap Junction Protein Alpha 1,Protein Coding,P17302,57,GC06P121436,22.22
278,RAD51,RAD51 Recombinase,Protein Coding,Q06609,57,GC15P040694,22.22
279,GNB1,G Protein Subunit Beta 1,Protein Coding,P62873,52,GC01M001785,22.2
